Ground Name,City,Country,Batting First Elo Boost,Adj 1st Innings Score,Adj 2nd Innings Score,Matches Completed,Batting First Wins,Batting Second Wins,Batting First Win %,Batting Second Win %
Municipal Stadium,Gujranwala,Pakistan,-0.20959877163176094,247.83097098214287,251.7519799334486,7,4,3,0.5714285714285714,0.42857142857142855
National Cricket Stadium,Tangier,Morocco,1.3817620720845598,236.16752232142858,214.76003251785713,7,6,1,0.8571428571428571,0.14285714285714285
Indian Petrochemicals Corporation Limited Sports Complex Ground,Vadodara,India,0.24469879082819385,291.6958147262499,260.12226158611327,7,3,4,0.42857142857142855,0.5714285714285714
Niaz Stadium,Hyderabad,Pakistan,0.5071170020190281,243.88109778422154,222.15433693816965,7,5,2,0.7142857142857143,0.2857142857142857
Boland Park,Paarl,South Africa,0.3420803677732295,281.6697265625,249.06740977254466,7,4,3,0.5714285714285714,0.42857142857142855
Cambusdoon New Ground,Ayr,Scotland,0.10557260120662326,205.2560965401786,214.67529867039337,7,3,4,0.42857142857142855,0.5714285714285714
ICC Global Cricket Academy,Dubai,United Arab Emirates,-0.45369299048619005,219.76802455357137,206.76390665981305,7,2,5,0.2857142857142857,0.7142857142857143
Queen's Park (New),St George's,West Indies,0.13482884033718356,243.1536830357143,236.19142822652623,7,3,4,0.42857142857142855,0.5714285714285714
Mangaung Oval,Bloemfontein,South Africa,0.5548544019555806,302.14161530574773,272.71505891440853,7,4,3,0.5714285714285714,0.42857142857142855
Municipal Stadium,Rajkot,India,-0.4535909976890021,260.07201223812774,248.0007280660128,7,3,4,0.42857142857142855,0.5714285714285714
Nehru Stadium,Margao,India,-0.9190946875286798,239.06796874999995,245.41949680359374,6,2,4,0.3333333333333333,0.6666666666666666
Gujarat Stadium,Ahmedabad,India,0.829608672463498,213.46484375,196.14393504585937,6,5,1,0.8333333333333334,0.16666666666666666
Titwood,Glasgow,Scotland,-1.2058182317469521,201.13676970429685,276.3704697711719,6,1,5,0.16666666666666666,0.8333333333333334
Sylhet International Cricket Stadium,Sylhet,Bangladesh,-0.015764096149673085,279.8104923678125,263.2509094874609,6,4,2,0.6666666666666666,0.3333333333333333
Narendra Modi Stadium,Ahmedabad,India,-0.741152242557722,249.85117187499998,275.2542693351953,6,3,3,0.5,0.5
Sportpark Westvliet,The Hague,Netherlands,-0.4371900562370117,194.70025434999997,205.32285751203122,6,1,5,0.16666666666666666,0.8333333333333334
Central Broward Regional Park Stadium Turf Ground,Lauderhill,United States of America,0.6323843997946266,231.67875483839842,196.6623030771875,6,4,2,0.6666666666666666,0.3333333333333333
Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh,0.5312536102169141,266.51210937499997,245.2461518187891,6,3,3,0.5,0.5
Galle International Stadium,Galle,Sri Lanka,-0.32169507634340355,224.36394933535158,260.6859932053906,6,2,4,0.3333333333333333,0.6666666666666666
Ibn-e-Qasim Bagh Stadium,Multan,Pakistan,0.2119558354175537,237.58509409941405,217.0299967490234,6,3,3,0.5,0.5
Ruaraka Sports Club Ground,Nairobi,Kenya,-0.7124969134233259,249.66875000000002,266.22486467453126,5,1,4,0.2,0.8
Old Hararians,Harare,Zimbabwe,0.5338912268572673,236.73565340312499,191.8740705953125,5,3,2,0.6,0.4
Indira Priyadarshini Stadium,Visakhapatnam,India,0.8115645881336563,293.5042613710937,245.14290850328123,5,4,1,0.8,0.2
Queenstown Events Centre,Queenstown,New Zealand,-0.35403013743758915,317.33660713999996,398.2608817023436,5,1,4,0.2,0.8
County Ground,Chelmsford,England,1.339705717137539,256.49817706984373,250.51348554515624,5,3,2,0.6,0.4
Shaheed Chandu Stadium,Bogra,Bangladesh,-0.041150481817359,230.7504464265625,213.0883508976562,5,2,3,0.4,0.6
